whed_1  |  RESULT  United Arab Emirates total result 45
whed_1  |  LOG  Processing United Kingdom
whed_1  |  RESULT  United Kingdom total result 248
whed_1  |  LOG  Processing Uruguay
whed_1  |  RESULT  Uruguay total result 16
whed_1  |  LOG  Processing Uzbekistan
whed_1  |  RESULT  Uzbekistan total result 64
whed_1  |  LOG  Processing Venezuela (Bolivarian Republic of)
whed_1  |  RESULT  Venezuela (Bolivarian Republic of) total result 77
whed_1  |  LOG  Processing Vietnam
whed_1  |  RESULT  Vietnam total result 172
whed_1  |  LOG  Processing Yemen
whed_1  |  RESULT  Yemen total result 15
whed_1  |  LOG  Processing Zambia
whed_1  |  RESULT  Zambia total result 30
whed_1  |  LOG  Processing Zimbabwe
whed_1  |  RESULT  Zimbabwe total result 13
whed_1  |  LOG  Processing United States of America
whed_1  |  RESULT  United States of America total result 2117
whed_1  |  LOG  Processing Canada
whed_1  |  RESULT  Canada total result 142
whed_1  |  LOG  Processing Belgium
whed_1  |  RESULT  Belgium total result 58
whed_1  | Crawling Time: 638019.683ms

